spacing,range_pct,levels,max_inventory_pct,n_windows,mean_return_pct,total_net_pnl,win_rate,worst_net_pnl,mean_funding,mean_fees,split
0.001,0.01,5,0.25,27,-0.0011269182281197134,-30.426792159232264,0.4074074074074074,-7.868811811526825,0.05479995484343246,0.8251703125925927,dev
0.001,0.01,5,0.5,27,-0.002266669075203763,-61.200065030501605,0.4074074074074074,-15.944697618079886,0.11036596849977912,1.6606316011111122,dev
0.001,0.01,10,0.25,27,-0.001132358985427547,-30.573692606543773,0.4444444444444444,-9.383533777957041,0.06075192494301951,0.7298818585185184,dev
0.001,0.01,10,0.5,27,-0.0023104052659155224,-62.38094217971911,0.4444444444444444,-18.767067555929316,0.12285204667716748,1.4767904088888888,dev
0.001,0.02,5,0.25,27,-0.0011269182281197134,-30.426792159232264,0.4074074074074074,-7.868811811526825,0.05479995484343246,0.8251703125925927,dev
0.001,0.02,5,0.5,27,-0.002266669075203763,-61.200065030501605,0.4074074074074074,-15.944697618079886,0.11036596849977912,1.6606316011111122,dev
0.001,0.02,10,0.25,27,-0.001132358985427547,-30.573692606543773,0.4444444444444444,-9.383533777957041,0.06075192494301951,0.7298818585185184,dev
0.001,0.02,10,0.5,27,-0.0023104052659155224,-62.38094217971911,0.4444444444444444,-18.767067555929316,0.12285204667716748,1.4767904088888888,dev
0.002,0.01,5,0.25,27,-0.0005398305553618499,-14.575424994769946,0.6296296296296297,-7.476996851521903,0.055237366119688804,0.4105026474074074,dev
0.002,0.01,5,0.5,27,-0.001084611683658695,-29.284515458784767,0.6296296296296297,-15.150756778079426,0.11125122004509352,0.8263299944444445,dev
0.002,0.01,10,0.25,27,-0.0002629979011960249,-7.1009433322926725,0.6296296296296297,-3.7384984257585074,0.0273135676928759,0.20275855592592593,dev
0.002,0.01,10,0.5,27,-0.0005398305553618499,-14.575424994769946,0.6296296296296297,-7.476996851521903,0.055237366119688804,0.4105026474074074,dev
0.002,0.02,5,0.25,27,-0.0005398305553618499,-14.575424994769946,0.6296296296296297,-7.476996851521903,0.055237366119688804,0.4105026474074074,dev
0.002,0.02,5,0.5,27,-0.001084611683658695,-29.284515458784767,0.6296296296296297,-15.150756778079426,0.11125122004509352,0.8263299944444445,dev
0.002,0.02,10,0.25,27,-0.00048131021579493133,-12.995375826463146,0.6296296296296297,-8.443502697958479,0.05841651827901862,0.340021435925926,dev
0.002,0.02,10,0.5,27,-0.0009874652869045046,-26.661562746421623,0.6296296296296297,-16.887005395921733,0.11818623383626373,0.6884801059259258,dev
0.004,0.01,5,0.25,27,-8.650160901293526e-05,-2.335543443349252,0.5925925925925926,-3.4821327534017428,0.018427681357440318,0.0832519477777778,dev
0.004,0.01,5,0.5,27,-0.00017059663284834625,-4.606109086905349,0.5925925925925926,-6.96426550680394,0.03705730641091091,0.16766822074074075,dev
0.004,0.01,10,0.25,27,-4.1173869147874704e-05,-1.111694466992617,0.5925925925925926,-1.6849029451947217,0.009071958259491895,0.04115389777777779,dev
0.004,0.01,10,0.5,27,-8.650160901293526e-05,-2.335543443349252,0.5925925925925926,-3.4821327534017428,0.018427681357440318,0.0832519477777778,dev
0.004,0.02,5,0.25,27,-0.00023703384485175617,-6.399913810997418,0.5555555555555556,-7.075022211519695,0.05315552848163146,0.1831531825925926,dev
0.004,0.02,5,0.5,27,-0.0004755782040296153,-12.840611508799611,0.5555555555555556,-14.33622921808012,0.10706777967405111,0.36861565222222226,dev
0.004,0.02,10,0.25,27,-0.00011248827559146507,-3.0371834409695566,0.5555555555555556,-3.537511105760359,0.028313347371407997,0.09438113962962963,dev
0.004,0.02,10,0.5,27,-0.00023440924938103705,-6.329049733288002,0.5555555555555556,-7.075022211519695,0.05735623950784621,0.19107429074074075,dev
0.001,0.01,5,0.25,19,-0.0008053351499987802,-15.301367849976828,0.5789473684210527,-9.965017581021698,0.04453241842166095,1.136654057894736,eval
0.001,0.01,5,0.5,19,-0.0016356482969132518,-31.077317641351783,0.5789473684210527,-20.23200539177492,0.09025540413901366,2.291022416842106,eval
0.001,0.01,10,0.25,19,-0.0007748808419111428,-14.722735996311712,0.5789473684210527,-10.228076430209626,0.04569844440496485,1.095060341578945,eval
0.001,0.01,10,0.5,19,-0.0016086978390760578,-30.565258942445098,0.5789473684210527,-21.095407637303424,0.0940084714500003,2.2126440289473632,eval
0.001,0.02,5,0.25,19,-0.0008053351499987802,-15.301367849976828,0.5789473684210527,-9.965017581021698,0.04453241842166095,1.136654057894736,eval
0.001,0.02,5,0.5,19,-0.0016356482969132518,-31.077317641351783,0.5789473684210527,-20.23200539177492,0.09025540413901366,2.291022416842106,eval
0.001,0.02,10,0.25,19,-0.0007748808419111428,-14.722735996311712,0.5789473684210527,-10.228076430209626,0.04569844440496485,1.095060341578945,eval
0.001,0.02,10,0.5,19,-0.0016086978390760578,-30.565258942445098,0.5789473684210527,-21.095407637303424,0.0940084714500003,2.2126440289473632,eval
0.002,0.01,5,0.25,19,0.00042500987494324097,8.075187623921579,0.5789473684210527,-7.800095481023732,0.041200005469660954,0.6665117410526321,eval
0.002,0.01,5,0.5,19,0.0008650953834785168,16.436812286091822,0.5789473684210527,-15.836557491775238,0.0835653403205926,1.348568517368421,eval
0.002,0.01,10,0.25,19,0.0002209631394582809,4.198299649707337,0.5789473684210527,-3.7818644756461026,0.020019651037037012,0.33123529842105287,eval
0.002,0.01,10,0.5,19,0.00042794446862746174,8.130944903921772,0.5789473684210527,-7.800095481023732,0.041200005469660954,0.6694153052631585,eval
0.002,0.02,5,0.25,19,0.00042500987494324097,8.075187623921579,0.5789473684210527,-7.800095481023732,0.041200005469660954,0.6665117410526321,eval
0.002,0.02,5,0.5,19,0.0008650953834785168,16.436812286091822,0.5789473684210527,-15.836557491775238,0.0835653403205926,1.348568517368421,eval
0.002,0.02,10,0.25,19,0.00015512165120701058,2.9473113729332,0.631578947368421,-9.162165070206015,0.04686475015377102,0.5280307726315793,eval
0.002,0.02,10,0.5,19,0.00028779759602055985,5.468154324390639,0.631578947368421,-18.896965457303622,0.096307645494113,1.0696737705263153,eval
0.004,0.01,5,0.25,19,0.0004285269981897237,8.14201296560475,0.631578947368421,-1.75493123797537,0.009731064505430268,0.12430144789473688,eval
0.004,0.01,5,0.5,19,0.0008694548364136919,16.519641891860147,0.631578947368421,-3.5098624759513086,0.019752870097941373,0.2512265231578948,eval
0.004,0.01,10,0.25,19,0.00021454615270814477,4.076376901454751,0.631578947368421,-0.8549665005521092,0.00471981902393999,0.0614802057894737,eval
